Type,Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
GSF-GSF,142040,35404614,44.00069894,-43.21752692,-6.398369869,-5.231418234,43.6886,-0.119459,-2.99461,-1,30.73602953,28.88641095,4.673944668,-9.403882965,29.2621,-0.316078,0.160414,1,71.85424145
GSF-GSF,142040,35721412,156.3860945,44.90066991,17.36223516,148.792114,48.1406,1.84677,0.368972,-1,248.8548594,-15.90860485,-44.57649744,244.3124909,47.3302,2.3437,-1.91359,1,90.04356957
GSF-GSF,142076,59861544,139.2640356,23.66965101,36.53753692,132.2846462,43.5344,1.83059,0.995957,-1,121.8131007,-23.1533449,-39.39046049,112.9192001,45.6912,1.63654,-2.10219,1,89.59876737
GSF-GSF,142076,82208206,25.05431642,-4.98090417,24.40561266,2.697301457,24.9087,0.108077,1.77212,1,135.494291,-0.750107225,-26.43896139,132.8876276,26.4496,2.31717,-1.59916,-1,85.76481431
GSF-GSF,142128,34626387,27.21999049,14.89874186,22.6647313,2.294630383,27.1231,0.0845,0.989269,-1,116.2774513,-7.931158771,-22.48013567,-113.8076707,23.8382,-2.26716,-1.90997,-1,90.04319164
GSF-GSF,142130,525639280,27.27592422,-24.4107643,6.381852392,10.36159198,25.2312,0.39992,2.88588,-1,173.0478654,27.92560658,-9.705183815,170.5037642,29.564,2.45278,-0.334479,1,85.98805124
GSF-GSF,142130,168757141,43.25072003,41.75260553,11.28463477,0.041624004,43.2507,0.000962389,0.263967,-1,52.35530327,-44.67041579,-17.8845571,-20.63430033,48.1176,-0.416669,-2.76077,1,93.08265564
GSF-GSF,142130,397137472,92.68389659,-33.26749735,-4.093501978,-86.41077217,33.5184,-1.67582,-3.01916,1,53.60867662,43.99919885,-0.187885201,-30.62556789,43.9996,-0.649421,-0.00427017,-1,87.00869144
GSF-GSF,142130,125891698,49.93085519,33.45557581,25.50605544,-26.8934171,42.0694,-0.6022,0.651381,-1,43.24354834,-32.06087994,-27.94886497,7.80803415,42.5328,0.182561,-2.42461,1,91.15539006
GSF-GSF,142130,20245688,216.734691,5.818633956,-53.96049103,209.8293001,54.2733,2.06173,-1.46338,-1,103.3430156,-4.664207344,36.96560422,96.39278063,37.2587,1.67911,1.69631,1,91.58393241
